chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
jfreechart\src\main\java\org\jfree\data\io\CSV.java,CSV.java,186,95,0.510753,12,0.042563
jfreechart\src\main\java\org\jfree\data\xy\Vector.java,Vector.java,135,87,0.644444,12,0.053704
jfreechart\src\main\java\org\jfree\data\xy\XYSeries.java,XYSeries.java,892,467,0.523543,102,0.005133
jfreechart\src\main\java\org\jfree\data\xy\XYDataset.java,XYDataset.java,108,97,0.898148,1,0.898148
jfreechart\src\main\java\org\jfree\data\xy\XYItemKey.java,XYItemKey.java,138,68,0.492754,15,0.03285
jfreechart\src\main\java\org\jfree\data\xy\YInterval.java,YInterval.java,112,71,0.633929,11,0.05763
jfreechart\src\main\java\org\jfree\data\xy\XYDataItem.java,XYDataItem.java,222,130,0.585586,21,0.027885
jfreechart\src\main\java\org\jfree\data\xy\XYInterval.java,XYInterval.java,143,85,0.594406,15,0.039627
jfreechart\src\main\java\org\jfree\data\xy\XYZDataset.java,XYZDataset.java,60,55,0.916667,1,0.916667
jfreechart\src\main\java\org\jfree\data\xy\OHLCDataset.java,OHLCDataset.java,149,136,0.912752,1,0.912752
jfreechart\src\main\java\org\jfree\data\xy\WindDataset.java,WindDataset.java,67,62,0.925373,1,0.925373
jfreechart\src\main\java\org\jfree\data\xy\XisSymbolic.java,XisSymbolic.java,72,66,0.916667,1,0.916667
jfreechart\src\main\java\org\jfree\data\xy\XYRangeInfo.java,XYRangeInfo.java,56,50,0.892857,1,0.892857
jfreechart\src\main\java\org\jfree\data\xy\YisSymbolic.java,YisSymbolic.java,73,67,0.917808,1,0.917808
jfreechart\src\main\java\org\jfree\data\xy\MatrixSeries.java,MatrixSeries.java,200,125,0.625,17,0.036765
jfreechart\src\main\java\org\jfree\data\xy\OHLCDataItem.java,OHLCDataItem.java,182,105,0.576923,18,0.032051
jfreechart\src\main\java\org\jfree\data\xy\VectorSeries.java,VectorSeries.java,162,118,0.728395,14,0.052028
