chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
jfreechart\src\main\java,jfreechart.src.main.java,43,3,0.069767,0,∞
jfreechart\src\main\java\org\jfree\data,jfreechart.src.main.java.org.jfree.data,4735,2744,0.579514,417,0.00139
jfreechart\src\main\java\org\jfree\data\io,jfreechart.src.main.java.org.jfree.data.io,186,95,0.510753,12,0.042563
jfreechart\src\main\java\org\jfree\data\xy,jfreechart.src.main.java.org.jfree.data.xy,11546,7241,0.627144,941,0.000666
jfreechart\src\main\java\org\jfree\data\xml,jfreechart.src.main.java.org.jfree.data.xml,1147,703,0.612903,78,0.007858
jfreechart\src\main\java\org\jfree\data\flow,jfreechart.src.main.java.org.jfree.data.flow,967,560,0.579111,81,0.00715
jfreechart\src\main\java\org\jfree\data\json,jfreechart.src.main.java.org.jfree.data.json,191,88,0.460733,11,0.041885
jfreechart\src\main\java\org\jfree\data\json\impl,jfreechart.src.main.java.org.jfree.data.json.impl,724,401,0.553867,71,0.007801
jfreechart\src\main\java\org\jfree\data\time,jfreechart.src.main.java.org.jfree.data.time,10165,5541,0.545106,997,0.000547
jfreechart\src\main\java\org\jfree\data\time\ohlc,jfreechart.src.main.java.org.jfree.data.time.ohlc,854,520,0.608899,75,0.008119
jfreechart\src\main\java\org\jfree\data\gantt,jfreechart.src.main.java.org.jfree.data.gantt,2268,1277,0.563051,201,0.002801
jfreechart\src\main\java\org\jfree\data\general,jfreechart.src.main.java.org.jfree.data.general,5118,2845,0.555881,453,0.001227
jfreechart\src\main\java\org\jfree\data\category,jfreechart.src.main.java.org.jfree.data.category,2018,1165,0.577304,189,0.003055
jfreechart\src\main\java\org\jfree\data\function,jfreechart.src.main.java.org.jfree.data.function,542,366,0.675277,40,0.016882
jfreechart\src\main\java\org\jfree\data\resources,jfreechart.src.main.java.org.jfree.data.resources,369,297,0.804878,12,0.067073
jfreechart\src\main\java\org\jfree\data\statistics,jfreechart.src.main.java.org.jfree.data.statistics,5745,3122,0.543429,487,0.001116
jfreechart\src\main\java\org\jfree\chart,jfreechart.src.main.java.org.jfree.chart,6545,3281,0.501299,580,0.000864
jfreechart\src\main\java\org\jfree\chart\api,jfreechart.src.main.java.org.jfree.chart.api,1359,835,0.614422,114,0.00539
jfreechart\src\main\java\org\jfree\chart\axis,jfreechart.src.main.java.org.jfree.chart.axis,17608,8353,0.474387,1714,0.000277
jfreechart\src\main\java\org\jfree\chart\date,jfreechart.src.main.java.org.jfree.chart.date,1330,784,0.589474,172,0.003427
jfreechart\src\main\java\org\jfree\chart\plot,jfreechart.src.main.java.org.jfree.chart.plot,25028,12156,0.485696,2636,0.000184
jfreechart\src\main\java\org\jfree\chart\plot\pie,jfreechart.src.main.java.org.jfree.chart.plot.pie,4333,2103,0.485345,410,0.001184
jfreechart\src\main\java\org\jfree\chart\plot\dial,jfreechart.src.main.java.org.jfree.chart.plot.dial,5544,3082,0.555916,508,0.001094
jfreechart\src\main\java\org\jfree\chart\plot\flow,jfreechart.src.main.java.org.jfree.chart.plot.flow,759,303,0.399209,77,0.005185
jfreechart\src\main\java\org\jfree\chart\plot\compass,jfreechart.src.main.java.org.jfree.chart.plot.compass,2333,1176,0.504072,202,0.002495
jfreechart\src\main\java\org\jfree\chart\text,jfreechart.src.main.java.org.jfree.chart.text,2238,1142,0.510277,206,0.002477
jfreechart\src\main\java\org\jfree\chart\text\format,jfreechart.src.main.java.org.jfree.chart.text.format,968,565,0.583678,84,0.006949
jfreechart\src\main\java\org\jfree\chart\urls,jfreechart.src.main.java.org.jfree.chart.urls,1557,952,0.611432,124,0.004931
jfreechart\src\main\java\org\jfree\chart\util,jfreechart.src.main.java.org.jfree.chart.util,1676,921,0.549523,98,0.005607
jfreechart\src\main\java\org\jfree\chart\block,jfreechart.src.main.java.org.jfree.chart.block,4980,2593,0.520683,449,0.00116
jfreechart\src\main\java\org\jfree\chart\event,jfreechart.src.main.java.org.jfree.chart.event,1136,934,0.822183,46,0.017874
jfreechart\src\main\java\org\jfree\chart\swing,jfreechart.src.main.java.org.jfree.chart.swing,4962,2387,0.481056,547,0.000879
jfreechart\src\main\java\org\jfree\chart\swing\editor,jfreechart.src.main.java.org.jfree.chart.swing.editor,3421,1548,0.452499,247,0.001832
